"","GEOID","NAME","tract","county","total_workers","essential","nonessential","conman","food","health","protection","socialservices","transport","total_pop","nonwhite_pct","pov_pct","hh_inc_med"
"468","17031460301","Census Tract 4603.01, Cook County, Illinois","4603.01","Cook",1182,0.528764805414552,0.471235194585448,0.214890016920474,0.0989847715736041,0.0913705583756345,0.0152284263959391,0.00592216582064298,0.102368866328257,3124,0.991,0.34,35845
"469","17031460302","Census Tract 4603.02, Cook County, Illinois","4603.02","Cook",978,0.679959100204499,0.320040899795501,0.213701431492843,0.0429447852760736,0.0715746421267894,0.0368098159509202,0.0756646216768916,0.239263803680982,3483,0.984,0.379,27391
"470","17031460400","Census Tract 4604, Cook County, Illinois","4604","Cook",1285,0.608560311284047,0.391439688715953,0.161089494163424,0.045136186770428,0.206225680933852,0.064591439688716,0.0256809338521401,0.105836575875486,3374,0.981,0.215,39605
"471","17031460500","Census Tract 4605, Cook County, Illinois","4605","Cook",2597,0.397766653831344,0.602233346168656,0.140161725067385,0.0812475933769734,0.0211782826338082,0.0319599537928379,0.0569888332691567,0.0662302656911821,5647,0.994,0.079,46162
"472","17031460600","Census Tract 4606, Cook County, Illinois","4606","Cook",422,0.625592417061611,0.374407582938389,0.18957345971564,0.0924170616113744,0.101895734597156,0.12085308056872,0,0.12085308056872,1008,0.993,0.194,38315
"473","17031460700","Census Tract 4607, Cook County, Illinois","4607","Cook",827,0.669891172914147,0.330108827085852,0.28174123337364,0.0556227327690447,0.110036275695284,0.100362756952842,0.00241837968561064,0.119709794437727,2636,0.968,0.451,23972
"474","17031461000","Census Tract 4610, Cook County, Illinois","4610","Cook",341,0.653958944281525,0.346041055718475,0.316715542521994,0.152492668621701,0.0674486803519062,0.032258064516129,0,0.0850439882697947,1313,0.944,0.309,14511
"475","17031470100","Census Tract 4701, Cook County, Illinois","4701","Cook",882,0.599773242630385,0.400226757369614,0.231292517006803,0.00793650793650794,0.0884353741496599,0.0623582766439909,0.0430839002267574,0.166666666666667,2336,0.996,0.177,25287
"476","17031480100","Census Tract 4801, Cook County, Illinois","4801","Cook",920,0.491304347826087,0.508695652173913,0.147826086956522,0.0271739130434783,0.0782608695652174,0.0880434782608696,0.0652173913043478,0.0847826086956522,2192,0.992,0.069,61495
"477","17031480200","Census Tract 4802, Cook County, Illinois","4802","Cook",467,0.586723768736617,0.413276231263383,0.218415417558887,0,0.104925053533191,0.0364025695931477,0.0642398286937901,0.162740899357602,1139,1,0.158,45441
"478","17031480300","Census Tract 4803, Cook County, Illinois","4803","Cook",402,0.527363184079602,0.472636815920398,0.106965174129353,0.0497512437810945,0.129353233830846,0.124378109452736,0.00248756218905473,0.114427860696517,1103,0.985,0.247,34107
"479","17031480400","Census Tract 4804, Cook County, Illinois","4804","Cook",2589,0.567400540749324,0.432599459250676,0.0807261490923136,0.0617999227500966,0.125917342603322,0.132483584395519,0.0312862108922364,0.135187331015836,5584,0.984,0.125,50426
"480","17031480500","Census Tract 4805, Cook County, Illinois","4805","Cook",1305,0.557854406130268,0.442145593869732,0.128735632183908,0.113409961685824,0.138697318007663,0.0574712643678161,0.032183908045977,0.0873563218390805,2938,0.984,0.207,40250
"481","17031490300","Census Tract 4903, Cook County, Illinois","4903","Cook",982,0.446028513238289,0.553971486761711,0.0712830957230143,0.0712830957230143,0.108961303462322,0.102851323828921,0.0193482688391039,0.0723014256619145,2340,0.993,0.189,55667
"482","17031490400","Census Tract 4904, Cook County, Illinois","4904","Cook",392,0.395408163265306,0.604591836734694,0.0178571428571429,0,0.170918367346939,0.0816326530612245,0.0178571428571429,0.107142857142857,773,1,0.056,51141
"483","17031490500","Census Tract 4905, Cook County, Illinois","4905","Cook",768,0.4375,0.5625,0.0520833333333333,0.01953125,0.118489583333333,0.0325520833333333,0.1171875,0.09765625,2008,0.96,0.196,54137
"484","17031490600","Census Tract 4906, Cook County, Illinois","4906","Cook",489,0.529652351738241,0.470347648261759,0.153374233128834,0.065439672801636,0.147239263803681,0,0.016359918200409,0.147239263803681,1498,0.985,0.163,39527
"485","17031490700","Census Tract 4907, Cook County, Illinois","4907","Cook",1016,0.604330708661417,0.395669291338583,0.163385826771654,0.0147637795275591,0.158464566929134,0.140748031496063,0.0118110236220472,0.115157480314961,2720,1,0.223,39787
"486","17031490800","Census Tract 4908, Cook County, Illinois","4908","Cook",1580,0.458227848101266,0.541772151898734,0.144303797468354,0.0240506329113924,0.0550632911392405,0.0848101265822785,0.0234177215189873,0.126582278481013,4116,0.982,0.262,40612
"487","17031490901","Census Tract 4909.01, Cook County, Illinois","4909.01","Cook",1228,0.526058631921824,0.473941368078176,0.208469055374593,0.0146579804560261,0.0952768729641694,0.0285016286644951,0,0.179153094462541,3689,1,0.242,38693
"488","17031490902","Census Tract 4909.02, Cook County, Illinois","4909.02","Cook",1662,0.465102286401925,0.534897713598075,0.120938628158845,0.0463297232250301,0.0824308062575211,0.0685920577617329,0.0397111913357401,0.107099879663057,4355,0.998,0.153,45273
"489","17031491000","Census Tract 4910, Cook County, Illinois","4910","Cook",1118,0.577817531305903,0.422182468694097,0.14221824686941,0.0348837209302326,0.190518783542039,0,0.0295169946332737,0.180679785330948,4239,0.987,0.486,24727
"490","17031491100","Census Tract 4911, Cook County, Illinois","4911","Cook",1401,0.553890078515346,0.446109921484654,0.158458244111349,0.0392576730906495,0.0749464668094218,0.0856531049250535,0.0456816559600286,0.149892933618844,4160,0.981,0.182,41167
"491","17031491200","Census Tract 4912, Cook County, Illinois","4912","Cook",685,0.468613138686131,0.531386861313869,0.132846715328467,0.054014598540146,0.0656934306569343,0.0788321167883212,0.0306569343065693,0.106569343065693,2110,0.977,0.268,40167
"492","17031491300","Census Tract 4913, Cook County, Illinois","4913","Cook",856,0.532710280373832,0.467289719626168,0.160046728971963,0.0642523364485981,0.125,0.0432242990654206,0.0175233644859813,0.122663551401869,2605,0.992,0.488,30000
"493","17031491400","Census Tract 4914, Cook County, Illinois","4914","Cook",1056,0.511363636363636,0.488636363636364,0.178030303030303,0,0.0748106060606061,0.0606060606060606,0.0350378787878788,0.162878787878788,3567,0.98,0.347,29737
"494","17031500100","Census Tract 5001, Cook County, Illinois","5001","Cook",1793,0.538761851645287,0.461238148354713,0.192414947016174,0.0256553262688232,0.0557724484104852,0.125488008923592,0.011154489682097,0.128276631344116,3208,0.994,0.107,46517
"495","17031500200","Census Tract 5002, Cook County, Illinois","5002","Cook",749,0.587449933244326,0.412550066755674,0.154873164218959,0.0907877169559413,0.168224299065421,0.0867823765020027,0,0.0867823765020027,2131,0.984,0.372,27247
"496","17031500300","Census Tract 5003, Cook County, Illinois","5003","Cook",673,0.410104011887073,0.589895988112927,0.12927191679049,0.0742942050520059,0.0742942050520059,0.0534918276374443,0.0282317979197623,0.050520059435364,1477,0.58,0.253,42263
"497","17031510100","Census Tract 5101, Cook County, Illinois","5101","Cook",1130,0.62212389380531,0.37787610619469,0.223008849557522,0.0530973451327434,0.0778761061946903,0.0734513274336283,0,0.194690265486726,3077,0.907,0.236,36081
"498","17031510200","Census Tract 5102, Cook County, Illinois","5102","Cook",1301,0.502690238278247,0.497309761721753,0.144504227517294,0.02152190622598,0.128362797847809,0.0315142198308993,0.0146041506533436,0.162182936202921,3321,0.941,0.318,44423
"499","17031510300","Census Tract 5103, Cook County, Illinois","5103","Cook",1628,0.506142506142506,0.493857493857494,0.141277641277641,0.0202702702702703,0.147420147420147,0.0601965601965602,0.0393120393120393,0.0976658476658477,5126,0.996,0.227,30069
"500","17031520100","Census Tract 5201, Cook County, Illinois","5201","Cook",772,0.703367875647668,0.296632124352332,0.374352331606218,0.0932642487046632,0.0272020725388601,0,0.0440414507772021,0.164507772020725,1810,0.931,0.136,41875
